publication_id	doi	year	host_organism	strain_name_as_reported	value_as_reported	unit_as_reported	value_g_per_g	basis	is_theoretical_percent	carbon_source	cultivation_mode_as_reported	quote	section	confidence	note
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY23 (+ald6)	59.55	mg/g glucose	0.05955	glucose	false	glucose	aerobic shake flask	The ald6 deletion accelerated glucose consumption and isobutanol formation and further increased isobutanol production up to a titer of 2.09 g/L after 96 h (Fig. b) with a yield of 59.55 mg/g glucose in JWY23.	results	high	Paper claims this is the highest yield ever obtained with S. cerevisiae in shake flask cultures (14.5% of the 0.411 g/g theoretical maximum).
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY04 (+ilv1), ethanol-supplemented	19.36	mg/g glucose	0.01936	glucose	false	glucose + ethanol supplement	aerobic shake flask	Moreover, this improvement was not exclusively restricted to Pdc-deficient strain JWY13, but could also be observed in the Pdc-proficient strains JWY0 and JWY04, increasing the isobutanol titer from 0.22 to 0.27 g/L (7.0 mg/g glucose) and from 0.56 to 0.76 g/L (19.36 mg/g glucose), respectively.	results	high	Same sentence also gives JWY0 + ethanol = 7.0 mg/g glucose.
doi:10.1186/1754-6834-5-65	10.1186/1754-6834-5-65	2012	Saccharomyces cerevisiae	Isoy17 (ilv2delta) + p425-synthILV235	7.41 +/- 1.18	mg/g glucose	0.00741	glucose	false	glucose	fermentation, 96 h	After 96 hours of fermentation, Isoy17 containing p425-synthILV235 produced 320.40 ± 49.48 mg/L isobutanol with a yield of 7.41 ± 1.18 mg per g glucose (Figure ).	results	high	
doi:10.1186/1754-6834-5-65	10.1186/1754-6834-5-65	2012	Saccharomyces cerevisiae	Isoy17 + p425-synthILV235 + ARO10 + ADH2	10.85 +/- 1.12	mg/g glucose	0.01085	glucose	false	glucose	fermentation, 96 h	Additional overexpression of ARO10 and ADH2 increased isobutanol production up to 505.07 ± 76.29 mg/L with a yield of 10.85 ± 1.12 mg per gram of glucose (Figure ).	results	high	
doi:10.1186/1754-6834-5-65	10.1186/1754-6834-5-65	2012	Saccharomyces cerevisiae	ilv2 single deletion strain (p425-synthILV235)	14.86 +/- 0.55	mg/g glucose	0.01486	glucose	false	glucose	fermentation, 96 h	The ilv2 single deletion strain where only the initial reaction of the mitochondrial valine pathway is blocked produced up to 630.27 ± 14.18 mg/L isobutanol with a yield of 14.86 ± 0.55 mg per g glucose (Figure ).	results	high	
doi:10.1186/1754-6834-5-65	10.1186/1754-6834-5-65	2012	Saccharomyces cerevisiae	CEN.PK2-1C + p425-synthILV235 (+/- ARO10/ADH2)	0.30 +/- 0.07 and 0.27 +/- 0.06	mg/g glucose	0.0003	glucose	false	glucose	fermentation	Even when we used strain CEN.PK2-1C overexpressing the codon-optimized truncated ILV versions from plasmid p425-synthILV235, with or without simultaneous overexpression of ARO10 and ADH2, we could not observe significant higher isobutanol production rates (not shown), isobutanol titers (up to 12.80 ± 2.44 mg/L and 11.96 ± 2.58 mg/L, respectively) and yields (0.30 ± 0.07 mg per gram of glucose and 0.27 ± 0.06 mg per gram of glucose, respectively).	results	medium	Two values in one sentence (0.30 and 0.27 mg/g); value_g_per_g given for the first (0.30). Non-producing control level.
doi:10.1186/1754-6834-5-65	10.1186/1754-6834-5-65	2012	Saccharomyces cerevisiae	Isoy17 + ARO10 + ADH2 (partial pathway)	3.81 +/- 0.30	mg/g glucose	0.00381	glucose	false	glucose	fermentation	Moreover, additional overexpression of ARO10 and ADH2 resulted in a further increase up to 184.56 ± 55.00 mg/L with a yield of 3.81 ± 0.30 mg isobutanol per g of glucose (Figure ).	results	medium	Strain assignment inferred from surrounding results narrative; quote itself does not name the strain.
doi:10.1186/1475-2859-12-119	10.1186/1475-2859-12-119	2013	Saccharomyces cerevisiae	BSW205 and BSW206 (integrated)	0.016 +/- 0.001 and 0.016 +/- 0.0003	g/g glucose consumed	0.016	glucose	false	glucose (100 g/L)	batch fermentation, 50-mL scale, 24 h	In a batch fermentation test at the 50-mL scale from 100 g/L glucose using the two integrated strains, the isobutanol titer reached 1.62 ± 0.11 g/L and 1.61 ± 0.03 g/L at 24 h after the start of fermentation, which corresponds to the yield at 0.016 ± 0.001 g/g glucose consumed and 0.016 ± 0.0003 g/g glucose consumed, respectively.	abstract	high	Two strains, same rounded yield. 3.9% of the 0.411 g/g theoretical maximum.
doi:10.1186/1475-2859-12-119	10.1186/1475-2859-12-119	2013	Saccharomyces cerevisiae	BSW17 and BSW18	0.006 +/- 0.0003 and 0.007 +/- 0.0002	g/g glucose consumed	0.006	glucose	false	glucose	fermentation, 48 h	The isobutanol yields of BSW17 and BSW18 strains were 0.006 ± 0.0003 and 0.007 ± 0.0002 g/g glucose consumed, respectively, since glucose was completely consumed at 48 h after the fermentation start (Figure b).	results	high	Two strains; value_g_per_g given for BSW17 (0.006). BSW18 = 0.007 g/g.
doi:10.1186/1475-2859-12-119	10.1186/1475-2859-12-119	2013	Saccharomyces cerevisiae	BSW205 and BSW206 (earlier timepoint/condition)	0.012 +/- 0.0007 and 0.011 +/- 0.001	g/g glucose consumed	0.012	glucose	false	glucose	fermentation	The isobutanol titer of the BSW205 and BSW206 strains reached 230 ± 13 and 221 ± 27 mg/L, respectively (Figure ) that correspond to isobutanol yields at 0.012 ± 0.0007 and 0.011 ± 0.001 g/g glucose consumed, respectively.	results	high	Different cultivation from the 0.016 g/g row (lower titer, 230 mg/L); value_g_per_g for BSW205.
doi:10.3389/fbioe.2022.1080024	10.3389/fbioe.2022.1080024	2022	Saccharomyces cerevisiae	sJD107 (combinatorial cassette #2)	36	mg isobutanol/g glucose	0.036	glucose	false	glucose	aerobic	Specifically, the highest producer was sJD107 under aerobic conditions which produced 364 mg/L isobutanol and had a yield of 36 mg isobutanol/g glucose which corresponds to 8.8% of the theoretical maximum yield (). sJD107 also performed well under micro-aerobic conditions where it produced 50 mg/L isobutanol and had a yield of 27.3 mg isobutanol/g glucose which corresponds to 6.6% of the theoretical maximum yield.	results	high	Paper reports 8.8% of theoretical; 0.036/0.411=8.8% - consistent.
doi:10.3389/fbioe.2022.1080024	10.3389/fbioe.2022.1080024	2022	Saccharomyces cerevisiae	sJD107 (combinatorial cassette #2)	27.3	mg isobutanol/g glucose	0.0273	glucose	false	glucose	micro-aerobic, serum vial	Specifically, the highest producer was sJD107 under aerobic conditions which produced 364 mg/L isobutanol and had a yield of 36 mg isobutanol/g glucose which corresponds to 8.8% of the theoretical maximum yield (). sJD107 also performed well under micro-aerobic conditions where it produced 50 mg/L isobutanol and had a yield of 27.3 mg isobutanol/g glucose which corresponds to 6.6% of the theoretical maximum yield.	results	high	Micro-aerobic condition of the same strain; 6.6% of theoretical.
doi:10.1186/1754-6834-4-21	10.1186/1754-6834-4-21	2011	Saccharomyces cerevisiae	CEN.PK113-5D overexpressing ILV2 ILV3 ILV5	0.97	mg per g glucose	0.00097	glucose	false	glucose, mineral medium	anaerobic fermentation	The yield of isobutanol was improved from 0.16 to 0.97 mg per g glucose by simultaneous overexpression of biosynthetic genes ILV2, ILV3, and ILV5 in valine metabolism in anaerobic fermentation of glucose in mineral medium in S. cerevisiae.	abstract	high	Reference strain in the same sentence = 0.16 mg/g glucose. Strain background named elsewhere in the paper, not in this quote.
doi:10.1186/1754-6834-4-21	10.1186/1754-6834-4-21	2011	Saccharomyces cerevisiae	reference strain (empty vector)	0.16	mg per g glucose	0.00016	glucose	false	glucose, mineral medium	anaerobic fermentation	The yield of isobutanol was improved from 0.16 to 0.97 mg per g glucose by simultaneous overexpression of biosynthetic genes ILV2, ILV3, and ILV5 in valine metabolism in anaerobic fermentation of glucose in mineral medium in S. cerevisiae.	abstract	high	Baseline / native S. cerevisiae anaerobic isobutanol yield.
doi:10.1186/1754-6834-4-21	10.1186/1754-6834-4-21	2011	Saccharomyces cerevisiae	ILV2 ILV3 ILV5 overexpression strain	3.86	mg per g glucose	0.00386	glucose	false	glucose, mineral medium	aerobic shake flask	In aerobic cultivations in shake flasks in mineral medium, the isobutanol yield of the ILV2 ILV3 ILV5 overexpression strain and the reference strain were 3.86 and 0.28 mg per g glucose, respectively.	results	high	Reference strain in same sentence = 0.28 mg/g glucose (aerobic).
doi:10.1186/1754-6834-4-21	10.1186/1754-6834-4-21	2011	Saccharomyces cerevisiae	reference strain (empty vector)	0.28	mg per g glucose	0.00028	glucose	false	glucose, mineral medium	aerobic shake flask	In aerobic cultivations in shake flasks in mineral medium, the isobutanol yield of the ILV2 ILV3 ILV5 overexpression strain and the reference strain were 3.86 and 0.28 mg per g glucose, respectively.	results	high	Native aerobic baseline.
doi:10.1186/s12934-015-0240-6	10.1186/s12934-015-0240-6	2015	Saccharomyces cerevisiae	YPH499dILV1-emp	3.67 +/- 0.09	mg/g glucose	0.00367	glucose	false	glucose	fermentation, 2 days	The isobutanol yields of YPH499ΔILV1-emp, YPH499ΔILV1-kAI, YPH499ΔILV1-kAI-MAE1 and YPH499ΔILV1-kAI-PMsM were 3.67 ± 0.09, 8.03 ± 0.15, 6.56 ± 0.44 and 12.04 ± 0.23 mg/g glucose at 2 days, respectively.	results	high	Four strains reported in one sentence; one row each.
doi:10.1186/s12934-015-0240-6	10.1186/s12934-015-0240-6	2015	Saccharomyces cerevisiae	YPH499dILV1-kAI	8.03 +/- 0.15	mg/g glucose	0.00803	glucose	false	glucose	fermentation, 2 days	The isobutanol yields of YPH499ΔILV1-emp, YPH499ΔILV1-kAI, YPH499ΔILV1-kAI-MAE1 and YPH499ΔILV1-kAI-PMsM were 3.67 ± 0.09, 8.03 ± 0.15, 6.56 ± 0.44 and 12.04 ± 0.23 mg/g glucose at 2 days, respectively.	results	high	Four strains reported in one sentence; one row each.
doi:10.1186/s12934-015-0240-6	10.1186/s12934-015-0240-6	2015	Saccharomyces cerevisiae	YPH499dILV1-kAI-MAE1	6.56 +/- 0.44	mg/g glucose	0.00656	glucose	false	glucose	fermentation, 2 days	The isobutanol yields of YPH499ΔILV1-emp, YPH499ΔILV1-kAI, YPH499ΔILV1-kAI-MAE1 and YPH499ΔILV1-kAI-PMsM were 3.67 ± 0.09, 8.03 ± 0.15, 6.56 ± 0.44 and 12.04 ± 0.23 mg/g glucose at 2 days, respectively.	results	high	Four strains reported in one sentence; one row each.
doi:10.1186/s12934-015-0240-6	10.1186/s12934-015-0240-6	2015	Saccharomyces cerevisiae	YPH499dILV1-kAI-PMsM	12.04 +/- 0.23	mg/g glucose	0.01204	glucose	false	glucose	fermentation, 2 days	The isobutanol yields of YPH499ΔILV1-emp, YPH499ΔILV1-kAI, YPH499ΔILV1-kAI-MAE1 and YPH499ΔILV1-kAI-PMsM were 3.67 ± 0.09, 8.03 ± 0.15, 6.56 ± 0.44 and 12.04 ± 0.23 mg/g glucose at 2 days, respectively.	results	high	Four strains reported in one sentence; one row each.
doi:10.1016/j.meteno.2016.01.002	10.1016/j.meteno.2016.01.002	2016	Saccharomyces cerevisiae	IME307 (Pdc- with catabolic isobutanol pathway)	0.018 +/- 0.003	mol/mol glucose	0.007405	glucose	false	glucose (SMG medium)	micro-aerobic	While the engineered strain could not grow anaerobically, micro-aerobic cultivation resulted in isobutanol formation at a yield of 0.018±0.003 mol/mol glucose.	abstract	high	Same paper reports isobutyrate at a higher yield (0.065 mol/mol) and 2,3-butanediol at 0.649 mol/mol - by-product overflow, not isobutanol.
doi:10.1016/j.synbio.2022.02.007	10.1016/j.synbio.2022.02.007	2022	Saccharomyces cerevisiae	mIBAILV5	1.8	mg isobutanol/g glucose	0.0018	glucose	false	glucose	fermentation, 38 h	The highest isobutanol titer was achieved by the mIBAILV5 strain, which produced 170 mg/L at 38 h, corresponding to a yield of 1.8 mg isobutanol/g glucose.	results	high	Cytosolic isobutanol pathway strain; iron-limited bottleneck study.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy197	23.0 +/- 4.8	mg/g xylose	0.023	xylose	false	xylose (15%)	high cell-density batch fermentation	We found that higher xylose concentrations result in higher isobutanol yields (Fig. a), which correlate with decreased rates of xylose consumption (Additional file : Figure S6a, b), achieving a maximum overall yield of 23.0 ± 4.8 mg/g xylose in 15% xylose.	results	high	Overall (end-point) yield. Paper states theoretical maximum on xylose = 411 mg/g, so this is 5.6%.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy197	38.8 +/- 2.4	mg/g xylose (maximum DAILY yield)	0.0388	xylose	false	xylose (15%)	fed-batch fermentation, day 2	The maximum daily yield of 38.8 ± 2.4 mg/g xylose, achieved in the second day of fed-batch fermentations in 15% xylose, corresponds to 9.4% of the maximum theoretical yield (411 mg/g) and a 50% increase from the maximum daily yield achieved in batch fermentations starting with same amount of xylose (Table , Additional file : Table S1 and Figure S8).	results	high	IMPORTANT: this is an instantaneous DAILY yield over one 24 h window, not an overall process yield. Do not compare directly with end-point yields.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy197	35.8 +/- 1.1	mg/g xylose (compounded, 48 h)	0.0358	xylose	false	xylose (15%)	fed-batch fermentation, first 48 h	The compounded isobutanol yield of the fed-batch fermentation in 15% xylose during the first 96 h is thus higher than in any other fermentation (Additional file : Figure S8g), peaking after 48 h, when it reaches 35.8 ± 1.1 mg/g xylose, which is 74% higher than in the batch fermentation starting with the same xylose concentration (Fig. c).	results	high	Compounded (cumulative to 48 h) yield, not the end-point yield.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy181 (bat1 pho13 ald6)	5.2 +/- 0.4	mg/g (xylose)	0.0052	xylose	false	xylose	72 h fermentation	Finally, the strain carrying all three deletions (YZy181) achieves the same isobutanol titers (409 ± 25 mg/L) as the strain with only BAT1 and ALD6 (YZy184) and the highest overall yields after 72 h of fermentation (5.2 ± 0.4 mg/g), which are 2.8- and 3.0-fold higher than the parental strain (YZy165) (Fig. a, Additional file : Figure S2a, b).	results	high	Quote says "mg/g" without naming the sugar; xylose is the substrate throughout this paper.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy178 (pho13delta)	2.3 +/- 0.5	mg/g xylose	0.0023	xylose	false	xylose (15%)	72 h high cell-density fermentation	When we deleted PHO13 in YZy165 (YZy178, Table ), we observed a modest increase in isobutanol yield (2.3 ± 0.5 mg/g xylose from 1.7 ± 0.3 mg/g xylose, Fig. a) and approximately 36% reduction in ethanol titers (27.9 ± 0.3 g/L from 37.8 ± 1.9 g/L, Fig. b) from 15% xylose in 72 h high cell-density fermentations.	results	high	Parental YZy165 in the same sentence = 1.7 +/- 0.3 mg/g xylose.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy165 (parental)	1.7 +/- 0.3	mg/g xylose	0.0017	xylose	false	xylose (15%)	72 h high cell-density fermentation	When we deleted PHO13 in YZy165 (YZy178, Table ), we observed a modest increase in isobutanol yield (2.3 ± 0.5 mg/g xylose from 1.7 ± 0.3 mg/g xylose, Fig. a) and approximately 36% reduction in ethanol titers (27.9 ± 0.3 g/L from 37.8 ± 1.9 g/L, Fig. b) from 15% xylose in 72 h high cell-density fermentations.	results	high	Parental strain baseline.
doi:10.1186/s13068-019-1560-2	10.1186/s13068-019-1560-2	2019	Saccharomyces cerevisiae	YZy197	57.2 +/- 5.2	mg/g xylose (TOTAL BCHAs, not isobutanol alone)		xylose	false	xylose	fermentation	The yield of total BCHAs is 57.2 ± 5.2 mg/g xylose, corresponding to ~ 14% of the maximum theoretical yield.	results	low	AMBIGUOUS/NOT ISOBUTANOL-ONLY: "total BCHAs" = isobutanol + 2-methyl-1-butanol combined. Recorded for completeness; must NOT be ingested as an isobutanol yield.
doi:10.1186/s13568-019-0885-3	10.1186/s13568-019-0885-3	2019	Saccharomyces cerevisiae	PWY2353 + LlkivD + ScADH7 (low-copy plasmid)	7.0	mg/g consumed D-xylose	0.007	xylose	false	D-xylose	shake flask, 6 days	Our best producer, strain PWY2353 with additional low-copy plasmid-based expression of LlkivD and ScADH7, was able to produce isobutanol at a titer of 48.4 ± 2.0 mg/L after 6 days of cultivation (specific isobutanol production of 25.3 ± 2.8 mg/g CDW; yield of 7.0 mg/g consumed d-xylose).	results	high	
doi:10.1093/femsyr/foae006	10.1093/femsyr/foae006	2024	Saccharomyces cerevisiae	ZNXISO (ZNF1-overexpressing, xylose-isobutanol)	155.88	mg/g xylose consumed	0.15588	xylose	false	xylose (high concentration)	fermentation, day 6, upscaled + FeSO4	On day 6, ZNXISO strain achieved the highest isobutanol production ~14809.0 ± 400 mg/l, isobutanol yield 155.88 mg/g xylose consumed, and productivity of 34.98 mg/g CDW/h, while the control strain produced 4060 ± 400 mg/L isobutanol, isobutanol yield 48.92 mg/g xylose consumed and productivity of 34.98 mg/g CDW/h (+264.75 improvement in the ZNXISO) (Table and Fig. ).	results	low	DOUBT: 14.8 g/L isobutanol and 155.88 mg/g in S. cerevisiae would be ~2.6x the best yeast yield in this whole corpus (59.55 mg/g, s13068-019-1486-8) and ~10x the best previously reported yeast titer. The same paper's own introduction states S. cerevisiae makes isobutanol at <1% of theoretical. Adjacent sentences in the paper are internally inconsistent (e.g. "the control strain showed 40.0 +/- 400 mg/L of isobutanol or yield 42.61 mg/g"). Treat as unverified until the figures/tables are checked against the raw data.
doi:10.1093/femsyr/foae006	10.1093/femsyr/foae006	2024	Saccharomyces cerevisiae	control strain (day 6)	48.92	mg/g xylose consumed	0.04892	xylose	false	xylose	fermentation, day 6	On day 6, ZNXISO strain achieved the highest isobutanol production ~14809.0 ± 400 mg/l, isobutanol yield 155.88 mg/g xylose consumed, and productivity of 34.98 mg/g CDW/h, while the control strain produced 4060 ± 400 mg/L isobutanol, isobutanol yield 48.92 mg/g xylose consumed and productivity of 34.98 mg/g CDW/h (+264.75 improvement in the ZNXISO) (Table and Fig. ).	results	low	DOUBT: same internal-consistency concerns as the ZNXISO row from this paper. A "control" strain at 48.92 mg/g would itself beat every other yeast yield in this corpus except one.
doi:10.1093/femsyr/foae006	10.1093/femsyr/foae006	2024	Saccharomyces cerevisiae	PWY2343 (ZNF1-overexpressing)	1.121	mg/g xylose consumed	0.001121	xylose	false	xylose (20 g/L)	fermentation, day 6	The isobutanol produced was 112.0 ± 9.6 mg/L, with 1.121 mg/g xylose consumed, and isobutanol productivity of 0.507 mg/g CDW/h using 20 g/l xylose fermentation on day 6 in the ZNF1 overexpressing strain, PWY2343 (Fig. and Table ).	results	medium	Low-xylose condition; this value is mutually consistent with the control value below and with the wider literature, unlike this paper's high-xylose numbers.
doi:10.1093/femsyr/foae006	10.1093/femsyr/foae006	2024	Saccharomyces cerevisiae	PWY2343 control	0.741	mg/g xylose consumed	0.000741	xylose	false	xylose (20 g/L)	fermentation	The control PWY2343 strain with 74.0 ± 3.3 mg/L of isobutanol, according to isobutanol yield 0.741 mg/g xylose consumed (+51% improvement compared the control) (Fig. and Table ).	results	medium	Sentence is self-referentially confusing ("control ... compared the control"); the number itself is legible.
doi:10.1093/femsyr/foae006	10.1093/femsyr/foae006	2024	Saccharomyces cerevisiae	ZNIXSO + 0.05 g/L FeSO4.7H2O	3.635	mg/g xylose consumed	0.003635	xylose	false	xylose	fermentation with iron supplementation	Surprisingly, the engineered ZNIXSO strain induced by 0.05 g/l FeSO4.7H2O, produced even higher level of isobutanol to 363.0 ± 5.9 mg/L with the yield of 3.635 mg/g xylose consumed and 1.606 mg/g CDW/h (+224.11% improvement compared to the control strain) (Fig. and Table ).	results	medium	Strain name spelled ZNIXSO here and ZNXISO elsewhere in the same paper - likely the same strain.
doi:10.1186/s13068-017-1003-x	10.1186/s13068-017-1003-x	2018	Komagataella phaffii (Pichia pastoris)	PP304 (episomal PpIlv6_T2A_PpIlv2)	22.2 +/- 0.1	mg/g glucose	0.0222	glucose	false	glucose	shake flask	In particular, PP304, which harbors the episomal plasmid containing the PpIlv6_T2A_PpIlv2 expression cassette, produced the highest titer of isobutanol at 2.22 ± 0.05 g/L (isobutanol yield of 22.2 ± 0.1 mg/g glucose, specific isobutanol production titer of 153 ± 9 mg/L/OD600).	results	high	Highest non-Saccharomyces yeast yield found in this corpus.
doi:10.1186/s12934-019-1171-4	10.1186/s12934-019-1171-4	2019	Escherichia coli	CFTi91zpee (ED-pathway, zwf pgl edd eda)	0.37	g/g	0.37	glucose	false	glucose	aerobic to 18 h then screw-capped (relatively anaerobic), 96 h	The yield of isobutanol from glucose in CFTi91zpee between 18 and 96 h cultivation was 0.37 g/g, and the final isobutanol titer was 15.0 g/L.	results	high	Paper states this is 90% of the maximal theoretical yield (0.41 g/g). Note the conclusions section writes the same figure as "(g-glucose/g-isobutanol)", which is an inverted-unit typo; the results and discussion consistently give g-isobutanol/g-glucose.
doi:10.1186/s12934-019-1171-4	10.1186/s12934-019-1171-4	2019	Escherichia coli	CFTi51 (completely ED-pathway-dependent)	0.24	g/g	0.24	glucose	false	glucose	aerobic, 48 h	The yield of isobutanol from glucose in CFTi51 after 48 h of cultivation was 0.24 g/g (g-isobutanol/g-glucose).	results	high	
doi:10.1186/s12934-019-1171-4	10.1186/s12934-019-1171-4	2019	Escherichia coli	CFTi91	0.28	g/g	0.28	glucose	false	glucose	aerobic to 18 h then anaerobic, 18-96 h	The yield of isobutanol from glucose in CFTi91 between 18 and 96 h of cultivation was 0.28 g/g.	results	high	
doi:10.1007/s00253-011-3173-y	10.1007/s00253-011-3173-y	2011	Escherichia coli	JCL260	0.29 +/- 0.003	g/g	0.29	glucose	false	glucose	bioreactor with in situ product removal, 30 C	The maximum isobutanol yield on glucose (determined at the end of fermentation) for JCL260 cultivated at 30°C was 0.29 ± 0.003 g/g, which is 68% of the theoretical maximum.	results	high	Paper calls this 68% of theoretical, implying a theoretical basis near 0.426 g/g rather than 0.411; recorded as reported.
doi:10.1186/s13068-023-02395-z	10.1186/s13068-023-02395-z	2023	Escherichia coli	SB001-pIBA4 (dldhA dfrdA dpflB + pIBA4)	89	% of the theoretical maximal isobutanol/glucose yield	0.3658	glucose	true	glucose minimal medium + acetate co-substrate	anaerobic small-scale batch	In small-scale batch cultivations, the strain reached a glucose uptake rate of 4.8 mmol gDW−1 h−1, a titer of 74 mM and 89% of the theoretical maximal isobutanol/glucose yield, while secreting only small amounts of ethanol synthesized from acetate.	abstract	high	Conversion 0.89 x 0.411 = 0.366 g/g is my arithmetic, not the paper's. Growth-coupled anaerobic design.
doi:10.1126/sciadv.abe1767	10.1126/sciadv.abe1767	2021	Escherichia coli	chromosomally integrated isobutanol pathway strain (best screen hit)	69	% of the theoretical maximum	0.2836	glucose	true	glucose	batch, 48 h	The integrated strains could, with far lower expression levels than plasmid-based expression, produce high titers (10.0 ± 0.9 g/liter isobutanol in 48 hours) and yields (69% of the theoretical maximum).	abstract	high	Paper explicitly defines the theoretical maximum as 0.41 g isobutanol per gram glucose, so 0.284 g/g. Strain not named in this quote.
