strain_as_reported	strain_id_guess	quantity_kind	product	value_as_reported	unit_as_reported	uncertainty_as_reported	n_replicates	timepoint_or_condition	medium_and_cultivation_as_reported	source_locator	quote	confidence	note
mIBA^ILV5	YAA:STRAIN:y797	ratio	other	1.1	fold longer doubling time vs WT	not given	3	exponential phase	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	The three engineered strains grew slower than the WT strain (Fig. 2); doubling times during the exponential phase of the mIBAILV5, cIBAILV5 and cIBAIlvC6E6 strains were 1.1, 1.3, and 1.3-fold larger than the WT strain, respectively.	high	Relative exponential-phase doubling time vs the WT parent. No absolute doubling time in h is given for any strain.
cIBA^ILV5	YAA:STRAIN:y812	ratio	other	1.3	fold longer doubling time vs WT	not given	3	exponential phase	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	The three engineered strains grew slower than the WT strain (Fig. 2); doubling times during the exponential phase of the mIBAILV5, cIBAILV5 and cIBAIlvC6E6 strains were 1.1, 1.3, and 1.3-fold larger than the WT strain, respectively.	high	Relative exponential-phase doubling time vs the WT parent. No absolute doubling time in h is given for any strain.
cIBA^IlvC6E6	YAA:STRAIN:y799	ratio	other	1.3	fold longer doubling time vs WT	not given	3	exponential phase	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	The three engineered strains grew slower than the WT strain (Fig. 2); doubling times during the exponential phase of the mIBAILV5, cIBAILV5 and cIBAIlvC6E6 strains were 1.1, 1.3, and 1.3-fold larger than the WT strain, respectively.	high	Relative exponential-phase doubling time vs the WT parent. No absolute doubling time in h is given for any strain.
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	biomass	other	5.3-5.6	OD600	not given	3	end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Paper reports only the RANGE across all four strains, not a per-strain value. Row is duplicated per strain so the atlas can join; the value is not strain-resolved. Per-strain OD600 curves exist in Fig. 2 without numeric labels in the text.
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	substrate_consumed	other	100	g/L glucose consumed	not given	3	by end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 + Materials and methods 2.1	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Derived from 'completely consumed the glucose provided' plus the defined minimal medium containing 100 g/L dextrose. The paper never prints a glucose-consumed number.
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	titer	ethanol	45-47	g/L	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Paper reports only the RANGE across all four strains. Ethanol is ~1000-fold the isobutanol titer in every strain -- the dominant carbon sink.
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	yield	ethanol	>90	% of theoretical maximum	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Range statement covering all four strains. This is the reason isobutanol yield is <0.2% of theoretical in every strain.
mIBA^ILV5	YAA:STRAIN:y797	biomass	other	5.3-5.6	OD600	not given	3	end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Paper reports only the RANGE across all four strains, not a per-strain value. Row is duplicated per strain so the atlas can join; the value is not strain-resolved. Per-strain OD600 curves exist in Fig. 2 without numeric labels in the text.
mIBA^ILV5	YAA:STRAIN:y797	substrate_consumed	other	100	g/L glucose consumed	not given	3	by end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 + Materials and methods 2.1	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Derived from 'completely consumed the glucose provided' plus the defined minimal medium containing 100 g/L dextrose. The paper never prints a glucose-consumed number.
mIBA^ILV5	YAA:STRAIN:y797	titer	ethanol	45-47	g/L	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Paper reports only the RANGE across all four strains. Ethanol is ~1000-fold the isobutanol titer in every strain -- the dominant carbon sink.
mIBA^ILV5	YAA:STRAIN:y797	yield	ethanol	>90	% of theoretical maximum	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Range statement covering all four strains. This is the reason isobutanol yield is <0.2% of theoretical in every strain.
cIBA^IlvC6E6	YAA:STRAIN:y799	biomass	other	5.3-5.6	OD600	not given	3	end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Paper reports only the RANGE across all four strains, not a per-strain value. Row is duplicated per strain so the atlas can join; the value is not strain-resolved. Per-strain OD600 curves exist in Fig. 2 without numeric labels in the text.
cIBA^IlvC6E6	YAA:STRAIN:y799	substrate_consumed	other	100	g/L glucose consumed	not given	3	by end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 + Materials and methods 2.1	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Derived from 'completely consumed the glucose provided' plus the defined minimal medium containing 100 g/L dextrose. The paper never prints a glucose-consumed number.
cIBA^IlvC6E6	YAA:STRAIN:y799	titer	ethanol	45-47	g/L	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Paper reports only the RANGE across all four strains. Ethanol is ~1000-fold the isobutanol titer in every strain -- the dominant carbon sink.
cIBA^IlvC6E6	YAA:STRAIN:y799	yield	ethanol	>90	% of theoretical maximum	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Range statement covering all four strains. This is the reason isobutanol yield is <0.2% of theoretical in every strain.
cIBA^ILV5	YAA:STRAIN:y812	biomass	other	5.3-5.6	OD600	not given	3	end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Paper reports only the RANGE across all four strains, not a per-strain value. Row is duplicated per strain so the atlas can join; the value is not strain-resolved. Per-strain OD600 curves exist in Fig. 2 without numeric labels in the text.
cIBA^ILV5	YAA:STRAIN:y812	substrate_consumed	other	100	g/L glucose consumed	not given	3	by end of 48 h fermentation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 + Materials and methods 2.1	All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	medium	Derived from 'completely consumed the glucose provided' plus the defined minimal medium containing 100 g/L dextrose. The paper never prints a glucose-consumed number.
cIBA^ILV5	YAA:STRAIN:y812	titer	ethanol	45-47	g/L	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Paper reports only the RANGE across all four strains. Ethanol is ~1000-fold the isobutanol titer in every strain -- the dominant carbon sink.
cIBA^ILV5	YAA:STRAIN:y812	yield	ethanol	>90	% of theoretical maximum	not given	3	44 h	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	All strains produced ethanol titers of 45-47 g/L by 44 h of the fermentation corresponding to yields over 90% of the theoretical maximum (Fig. 2).	medium	Range statement covering all four strains. This is the reason isobutanol yield is <0.2% of theoretical in every strain.
cIBA^ILV5 fra2D		titer	isobutanol	190	mg/L	not given in text (Fig. 6b error bars = SD of 3 biological replicates)	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6b)	We observed that the deletion of FRA2 significantly altered the isobutanol titer in the cIBAILV5 background strain, but not in the mIBAILV5 strain; the cIBAILV5 fra2D strain produced 190 mg/L isobutanol at 48 h which is 2.4-fold more than the cIBAILV5 strain (P < 5E-5) (Fig. 6b).	high	FRA2-deletion derivative of Y812 (cIBAILV5). NOT one of the four atlas strains and NOT in SRP342112 -- no transcriptome exists for it. Best titer in the paper.
cIBA^ILV5 fra2D vs cIBA^ILV5		ratio	isobutanol	2.4	fold (titer ratio)	P < 5E-5	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6b)	We observed that the deletion of FRA2 significantly altered the isobutanol titer in the cIBAILV5 background strain, but not in the mIBAILV5 strain; the cIBAILV5 fra2D strain produced 190 mg/L isobutanol at 48 h which is 2.4-fold more than the cIBAILV5 strain (P < 5E-5) (Fig. 6b).	high	The iron-supply intervention's effect size on the cytosolic strain.
cIBA^ILV5 fra2D vs mIBA^ILV5		ratio	isobutanol	1.3	fold (titer ratio)	P < 5E-5	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6b)	Furthermore, the titer achieved by the cIBAILV5 fra2D strain surpassed the isobutanol titer in our previous best producer, mIBAILV5, by 1.3-fold (P < 5E-5) indicating a high titer with a cytosolic isobutanol pathway localization can be achieved.	high	The paper's closing claim: a cytosolic pathway with relieved iron limitation beats the mitochondrial pathway.
mIBA^ILV5 fra2D		titer	isobutanol	NOT REPORTED NUMERICALLY	mg/L	n/a	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	Results and discussion 3.6 (Fig. 6b)	We observed that the deletion of FRA2 significantly altered the isobutanol titer in the cIBAILV5 background strain, but not in the mIBAILV5 strain; the cIBAILV5 fra2D strain produced 190 mg/L isobutanol at 48 h which is 2.4-fold more than the cIBAILV5 strain (P < 5E-5) (Fig. 6b).	low	The text states only that FRA2 deletion did NOT significantly alter titer in the mIBAILV5 background. The actual titer appears only as a bar in Fig. 6b with no numeric axis label reproduced in the text. NOT ESTIMATED HERE.
cIBA^ILV5 (Fig. 6 experiment, 48 h)	YAA:STRAIN:y812	titer	isobutanol	~79 (implied)	mg/L	n/a	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	DERIVED from Results and discussion 3.6: 190 / 2.4	We observed that the deletion of FRA2 significantly altered the isobutanol titer in the cIBAILV5 background strain, but not in the mIBAILV5 strain; the cIBAILV5 fra2D strain produced 190 mg/L isobutanol at 48 h which is 2.4-fold more than the cIBAILV5 strain (P < 5E-5) (Fig. 6b).	low	BACK-CALCULATED, not stated. Note this implies ~79 mg/L at 48 h in the Fig. 6 run vs the 46 mg/L at 38 h in the Fig. 2 run -- different experiments and timepoints, so not a contradiction, but the two runs are not directly comparable.
mIBA^ILV5 (Fig. 6 experiment, 48 h)	YAA:STRAIN:y797	titer	isobutanol	~146 (implied)	mg/L	n/a	3	48 h post inoculation	minimal medium, anaerobic, 30 C (FRA2-deletion time-course experiment, Fig. 6)	DERIVED from Results and discussion 3.6: 190 / 1.3	Furthermore, the titer achieved by the cIBAILV5 fra2D strain surpassed the isobutanol titer in our previous best producer, mIBAILV5, by 1.3-fold (P < 5E-5) indicating a high titer with a cytosolic isobutanol pathway localization can be achieved.	low	BACK-CALCULATED, not stated. INTERNAL TENSION WORTH FLAGGING: 190/1.3 = 146 mg/L, below the 170 mg/L reported for mIBAILV5 at 38 h in Fig. 2. The two numbers come from different fermentations (Fig. 2 vs Fig. 6) so they need not agree, but any atlas comparison of the fra2D result to the 170 mg/L headline is cross-experiment.
mIBA^IlvC6E6		ratio	other	166	fold higher petite frequency than WT	not given	3 independent cultures	YPD overnight, plated on YPDG	YPD then YPDG (0.1% dextrose, 3% glycerol) plates, 30 C, colonies counted after 3 days	Results and discussion 3.1 (Table S2)	The frequency at which the petite colonies arose in the mIBAIlvC6E6 strain was 166-fold that of the wild-type (WT) strain (Table S2).	high	The FOURTH engineered strain, mitochondrial + NADH KARI. Dropped from the study for this irreversible fitness defect -- it has no fermentation data and no transcriptome. Explains why the atlas has four strains and not five.
cIBA^ILV5	YAA:STRAIN:y812	ratio	other	23	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 5.0E-4	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	At 4 h, the cIBAILV5 strain had a 23-fold (P < 5.0E-4), 16-fold (P < 5.0E-5), and 4.1-fold (P < 0.005) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT.	high	Intracellular 2-acetolactate (AL). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
cIBA^ILV5	YAA:STRAIN:y812	ratio	other	16	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 5.0E-5	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	At 4 h, the cIBAILV5 strain had a 23-fold (P < 5.0E-4), 16-fold (P < 5.0E-5), and 4.1-fold (P < 0.005) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT.	high	Intracellular 2,3-dihydroxyisovalerate (DHIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
cIBA^ILV5	YAA:STRAIN:y812	ratio	other	4.1	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 0.005	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	At 4 h, the cIBAILV5 strain had a 23-fold (P < 5.0E-4), 16-fold (P < 5.0E-5), and 4.1-fold (P < 0.005) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT.	high	Intracellular alpha-ketoisovalerate (KIV). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
cIBA^IlvC6E6	YAA:STRAIN:y799	ratio	other	22	fold change vs WT (increase vs WT), intracellular LC-MS peak area normalised per OD600	P < 5e-6	3	4 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.4 (Fig. 5)	Similarly, at 4 h, the cIBAIlvC6E6 strain had a 22-fold (P < 5e-6), 8.6-fold (P < 0.0005), and 2.5-fold (P < 5E-4) increase in intracellular AL, DHIV, and KIV, respectively when compared to WT (Fig. 5).	high	Intracellular 2-acetolactate (AL). This is the core bottleneck evidence: substrate (AL, DHIV) of the Ilv3p/DHAD step piles up in both cytosolic strains and is DEPLETED in the mitochondrial strain. Timepoints 4/10/26 h are the same samples as SRP342112 T3/T6/T14.
