# screening_decisions.tsv -- the project owner's own include/exclude verdicts, one per
# publication, recorded from how PDFs were sorted under
# D:\Agentic\bifserver-works\literatures on 2026-09-22.
#
# These are NOT screening_record.triage_state. That column is Zone H, a deterministic
# function of query_families.yaml and discovery.py, and the schema says it must never be
# overwritten directly -- the next discovery run rebuilds it. A person who read a paper
# and rejected it is not a function of the query file, so the verdict lives here and in
# the screening_decision table, where re-running discovery cannot erase it.
#
# in_atlas records whether the DOI matched a publication row at the time of writing. 'no'
# means the owner screened a paper discovery never returned: kept deliberately, because a
# decision about a paper the atlas has not seen is still a decision, and dropping it here
# would silently re-open the paper if discovery later finds it.
#
# pdf/ (17 files, unsorted) is absent on purpose. Undecided is not a decision.
publication_id	decision	reason	source	decided_by	decided_at	in_atlas	pdf_file
doi:10.1007/bf00317071	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00317071.pdf
doi:10.1007/bf00318513	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00318513.pdf
doi:10.1007/bf00318522	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00318522.pdf
doi:10.1007/bf00318525	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00318525.pdf
doi:10.1007/bf00321109	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00321109.pdf
doi:10.1007/bf00336483	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00336483.pdf
doi:10.1007/bf00336780	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00336780.pdf
doi:10.1007/bf00336781	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00336781.pdf
doi:10.1007/bf00336786	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00336786.pdf
doi:10.1007/bf00351653	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00351653.pdf
doi:10.1007/bf00351660	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00351660.pdf
doi:10.1007/bf00351744	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00351744.pdf
doi:10.1007/bf00355058	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00355058.pdf
doi:10.1007/bf00357167	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00357167.pdf
doi:10.1007/bf00365628	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365628.pdf
doi:10.1007/bf00365643	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365643.pdf
doi:10.1007/bf00365679	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365679.pdf
doi:10.1007/bf00365694	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365694.pdf
doi:10.1007/bf00365714	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365714.pdf
doi:10.1007/bf00365720	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00365720.pdf
doi:10.1007/bf00376789	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00376789.pdf
doi:10.1007/bf00384603	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00384603.pdf
doi:10.1007/bf00390335	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00390335.pdf
doi:10.1007/bf00390336	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00390336.pdf
doi:10.1007/bf00405096	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00405096.pdf
doi:10.1007/bf00417811	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00417811.pdf
doi:10.1007/bf00418526	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00418526.pdf
doi:10.1007/bf00419558	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00419558.pdf
doi:10.1007/bf00420605	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00420605.pdf
doi:10.1007/bf00420627	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00420627.pdf
doi:10.1007/bf00421604	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00421604.pdf
doi:10.1007/bf00429824	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00429824.pdf
doi:10.1007/bf00434887	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00434887.pdf
doi:10.1007/bf00435207	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00435207.pdf
doi:10.1007/bf00435287	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00435287.pdf
doi:10.1007/bf00445745	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00445745.pdf
doi:10.1007/bf00447385	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00447385.pdf
doi:10.1007/bf00449815	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00449815.pdf
doi:10.1007/s00253-020-10819-1	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00253-020-10819-1.pdf
doi:10.1007/s00294-002-0337-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-002-0337-4.pdf
doi:10.1007/s00294-003-0398-z	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-003-0398-z.pdf
doi:10.1007/s00294-003-0420-5	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-003-0420-5.pdf
doi:10.1007/s00294-004-0493-9	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-004-0493-9.pdf
doi:10.1007/s00294-004-0503-y	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-004-0503-y.pdf
doi:10.1007/s00294-004-0537-1	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-004-0537-1.pdf
doi:10.1007/s00294-005-0022-5	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-005-0022-5.pdf
doi:10.1007/s00294-005-0023-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-005-0023-4.pdf
doi:10.1007/s00294-005-0566-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-005-0566-4.pdf
doi:10.1007/s00294-005-0582-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-005-0582-4.pdf
doi:10.1007/s00294-009-0260-z	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-009-0260-z.pdf
doi:10.1007/s00294-014-0472-8	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-014-0472-8.pdf
doi:10.1007/s00294-015-0498-6	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-015-0498-6.pdf
doi:10.1007/s00294-017-0717-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-017-0717-4.pdf
doi:10.1007/s00294-018-0803-2	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00294-018-0803-2.pdf
doi:10.1007/s002940000155	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940000155.pdf
doi:10.1007/s002940050094	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050094.pdf
doi:10.1007/s002940050111	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050111.pdf
doi:10.1007/s002940050262	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050262.pdf
doi:10.1007/s002940050307	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050307.pdf
doi:10.1007/s002940050395	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050395.pdf
doi:10.1007/s002940050422	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050422.pdf
doi:10.1007/s002940050427	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050427.pdf
doi:10.1007/s002940050469	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050469.pdf
doi:10.1007/s002940050522	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940050522.pdf
doi:10.1007/s002940070001	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s002940070001.pdf
doi:10.1007/s00424-006-0083-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s00424-006-0083-4.pdf
doi:10.1007/s10495-007-0758-0	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s10495-007-0758-0.pdf
doi:10.1007/s10886-025-01685-0	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s10886-025-01685-0.pdf
doi:10.1007/s11033-019-04782-y	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s11033-019-04782-y.pdf
doi:10.1007/s11274-026-04985-z	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s11274-026-04985-z.pdf
doi:10.1007/s11427-023-2468-y	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_s11427-023-2468-y.pdf
doi:10.1016/0003-2697_65_90282-4	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	no	10.1016_0003-2697_65_90282-4.pdf
doi:10.1016/j.ab.2008.08.030	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.ab.2008.08.030.pdf
doi:10.1016/j.ab.2010.04.021	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.ab.2010.04.021.pdf
doi:10.1016/j.abb.2007.04.029	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.abb.2007.04.029.pdf
doi:10.1016/j.abb.2007.04.039	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.abb.2007.04.039.pdf
doi:10.1016/j.abb.2025.110406	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.abb.2025.110406.pdf
doi:10.1016/j.abb.2025.110674	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.abb.2025.110674.pdf
doi:10.1016/j.aca.2005.06.028	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.aca.2005.06.028.pdf
doi:10.1016/j.aca.2011.11.014	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.aca.2011.11.014.pdf
doi:10.1016/j.aca.2011.11.042	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.aca.2011.11.042.pdf
doi:10.1016/j.aca.2014.05.042	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.aca.2014.05.042.pdf
doi:10.1016/j.ajem.2022.10.048	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.ajem.2022.10.048.pdf
doi:10.1016/j.bbadis.2007.01.009	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbadis.2007.01.009.pdf
doi:10.1016/j.bbagen.2014.02.015	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2014.02.015.pdf
doi:10.1016/j.bbagen.2014.06.017	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2014.06.017.pdf
doi:10.1016/j.bbagen.2016.07.029	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2016.07.029.pdf
doi:10.1016/j.bbagen.2018.02.012	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2018.02.012.pdf
doi:10.1016/j.bbagen.2019.129417	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2019.129417.pdf
doi:10.1016/j.bbagen.2019.129504	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2019.129504.pdf
doi:10.1016/j.bbagen.2022.130147	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2022.130147.pdf
doi:10.1016/j.bbagen.2025.130845	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagen.2025.130845.pdf
doi:10.1016/j.bbagrm.2008.09.008	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbagrm.2008.09.008.pdf
doi:10.1016/j.bbalip.2012.11.007	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbalip.2012.11.007.pdf
doi:10.1016/j.bbamcr.2020.118816	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbamcr.2020.118816.pdf
doi:10.1016/j.bbrc.2010.01.051	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbrc.2010.01.051.pdf
doi:10.1016/j.bbrc.2010.10.014	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbrc.2010.10.014.pdf
doi:10.1016/j.bbrc.2012.05.151	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbrc.2012.05.151.pdf
doi:10.1016/j.bbrc.2014.08.011	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbrc.2014.08.011.pdf
doi:10.1016/j.bbrc.2017.03.126	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bbrc.2017.03.126.pdf
doi:10.1016/j.bcp.2014.07.027	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bcp.2014.07.027.pdf
doi:10.1016/j.biocel.2012.07.001	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biocel.2012.07.001.pdf
doi:10.1016/j.biocel.2015.05.016	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biocel.2015.05.016.pdf
doi:10.1016/j.biochi.2013.11.007	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biochi.2013.11.007.pdf
doi:10.1016/j.biochi.2013.12.005	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biochi.2013.12.005.pdf
doi:10.1016/j.bioelechem.2014.06.005	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bioelechem.2014.06.005.pdf
doi:10.1016/j.bioorg.2020.104192	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.bioorg.2020.104192.pdf
doi:10.1016/j.biopha.2008.06.032	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biopha.2008.06.032.pdf
doi:10.1016/j.biortech.2009.12.003	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2009.12.003.pdf
doi:10.1016/j.biortech.2010.09.102	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2010.09.102.pdf
doi:10.1016/j.biortech.2013.07.081	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2013.07.081.pdf
doi:10.1016/j.biortech.2015.02.015	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2015.02.015.pdf
doi:10.1016/j.biortech.2016.12.061	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2016.12.061.pdf
doi:10.1016/j.biortech.2021.125693	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2021.125693.pdf
doi:10.1016/j.biortech.2021.125846	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2021.125846.pdf
doi:10.1016/j.biortech.2023.128586	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2023.128586.pdf
doi:10.1016/j.biortech.2025.132656	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2025.132656.pdf
doi:10.1016/j.biortech.2025.133508	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1016_j.biortech.2025.133508.pdf
