rank	band	doi	pmid	title	year	journal	why_wanted_for_E1	why_unavailable	why_unavailable_detail	redistributable_if_supplied	publisher_url	best_known_link	queue_priority_as_computed	queue_priority_topic
11	A	10.1016/j.cell.2018.07.013	30100189	Reprogramming Yeast Metabolism from Alcoholic Fermentation to Lipogenesis.	2018	Cell	Alcoholic fermentation shut down wholesale and the carbon redirected to lipid. The most complete statement in the queue of what a cell does when the ethanol sink is removed - and it is a Cell paper, so the mass balance is likely to be complete.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://www.sciencedirect.com/science/article/pii/S0092867418309073/pdf	10	other
12	A	10.1271/bbb.70.1148	16717415	The effect of pyruvate decarboxylase gene knockout in Saccharomyces cerevisiae on L-lactic acid production.	2006	Bioscience, biotechnology, and biochemistry	PDC knockout with lactate as the replacement sink, with the growth cost reported. Overlaps 7 and 9; buy it if those are unavailable.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://academic.oup.com/bbb/article-pdf/70/5/1148/35027411/bbb1148.pdf	10	other
13	B	10.1021/sb200017p	23651155	A modified Cre-lox genetic switch to dynamically control metabolic flow in Saccharomyces cerevisiae.	2012	ACS synthetic biology	A Cre-lox switch for dynamic control of metabolic flow - B.3.1 admits 'Pdc promoter-replacement and dynamic-control strategies' by name, and this is the queue's clearest example of the dynamic half.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
14	B	10.1111/febs.70640	42388010	PDC1 deficiency results in 2-deoxyglucose sensitivity through inhibition of Pdc2 activity in yeast.	2026	The FEBS journal	PDC1 deficiency acting through Pdc2: a 2026 paper on the regulatory consequence of Pdc loss beyond the metabolic one. The newest item in the queue and the least likely to be superseded.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
15	B	10.1007/BF00279908	8264540	Characterisation of PDC2, a gene necessary for high level expression of pyruvate decarboxylase structural genes in Saccharomyces cerevisiae.	1993	Molecular & general genetics : MGG	PDC2, required for high-level expression of the PDC structural genes. The transcription factor any promoter-replacement or attenuation design has to reckon with.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
16	B	10.1128/jb.172.2.678-685.1990	2404950	pdc1(0) mutants of Saccharomyces cerevisiae give evidence for an additional structural PDC gene: cloning of PDC5, a gene homologous to PDC1.	1990	Journal of bacteriology	The cloning of PDC5 out of pdc1-null mutants - i.e. the discovery that deleting PDC1 alone does not remove the sink. This is why the chassis literature always says pdc1,5,6.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/208492	10	other
17	B	10.1128/jb.173.24.7963-7969.1991	1744053	Characterization of PDC6, a third structural gene for pyruvate decarboxylase in Saccharomyces cerevisiae.	1991	Journal of bacteriology	PDC6, the third structural gene. Completes the isozyme set that the triple deletion removes.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/212591	10	other
18	B	10.1007/BF00435452	2568187	A deletion of the PDC1 gene for pyruvate decarboxylase of yeast causes a different phenotype than previously isolated point mutations.	1989	Current genetics	A PDC1 deletion gives a different phenotype than the earlier point mutations. Directly relevant to whether attenuation and deletion are interchangeable, which is the design choice B.3.1 frames.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://link.springer.com/content/pdf/10.1007/BF00435452.pdf	10	other
19	B	10.1111/j.1432-1033.1990.tb15442.x	2185016	Autoregulation may control the expression of yeast pyruvate decarboxylase structural genes PDC1 and PDC5.	1990	European journal of biochemistry	PDC1/PDC5 autoregulation. Attenuating one isozyme changes the expression of the others, which is a failure mode any Pdc-attenuation design has to price in.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1432-1033.1990.tb15442.x	10	other
20	B	10.1016/s0014-5793(99)00449-4	10338141	Thiamine repression and pyruvate decarboxylase autoregulation independently control the expression of the Saccharomyces cerevisiae PDC5 gene.	1999	FEBS letters	Thiamine repression and autoregulation controlling PDC5 independently - a second, orthogonal handle on Pdc level, and a candidate for inducible attenuation.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/S0014-5793%2899%2900449-4	10	other
21	B	10.1046/j.1432-1327.1999.00370.x	10231381	Autoregulation of yeast pyruvate decarboxylase gene expression requires the enzyme but not its catalytic activity.	1999	European journal of biochemistry	Autoregulation needs the Pdc protein but not its catalytic activity. Bears on whether a catalytically dead Pdc is a usable attenuation tool.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1432-1327.1999.00370.x	10	other
22	B	10.1111/1567-1364.12052	23692511	Pyruvate decarboxylase activity is regulated by the Ser/Thr protein phosphatase Sit4p in the yeast Saccharomyces cerevisiae.	2013	FEMS yeast research	Pdc activity regulated post-translationally by the Sit4p phosphatase - the layer of Pdc control that promoter engineering does not reach.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://academic.oup.com/femsyr/article-pdf/13/6/518/18020324/13-6-518.pdf	10	other
23	B	10.1007/BF00521261	3147147	Identification of an upstream activation site in the pyruvate decarboxylase structural gene (PDC1) of Saccharomyces cerevisiae.	1988	Current genetics	The upstream activation site in PDC1. The primary source for any PDC1 promoter-replacement design.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
24	B	10.1007/BF00292085	8239883	Induction of pyruvate decarboxylase in glycolysis mutants of Saccharomyces cerevisiae correlates with the concentrations of three-carbon glycolytic metabolites.	1993	Archives of microbiology	PDC induction tracks three-carbon glycolytic metabolite concentrations. The quantitative link between glycolytic flux and Pdc level, which is what a dynamic-control strategy is trying to exploit.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
25	B	10.1128/AEM.02591-07	18344340	Malic acid production by Saccharomyces cerevisiae: engineering of pyruvate carboxylation, oxaloacetate reduction, and malate export.	2008	Applied and environmental microbiology	Pyruvate carboxylation and malate export as an alternative pyruvate drain. A competing-sink record in the same sense as E1's own framing, in the same organism.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		http://resolver.tudelft.nl/uuid:5f89376a-67c6-4523-92ae-5828b7f040f4	10	other
26	C	10.1007/s00253-018-8862-3	29497799	Molecular and functional characterization of two pyruvate decarboxylase genes, PDC1 and PDC5, in the thermotolerant yeast Kluyveromyces marxianus.	2018	Applied microbiology and biotechnology	PDC1/PDC5 in Kluyveromyces marxianus. Cross-organism Pdc genetics; useful only if the S. cerevisiae items above cannot be obtained.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
27	C	10.1007/s00253-005-0148-x	16175368	Production of glucoamylase in pyruvate decarboxylase deletion mutants of the yeast Kluyveromyces lactis.	2006	Applied microbiology and biotechnology	Pdc deletion mutants of K. lactis, a Crabtree-negative yeast. The contrast case for what Pdc loss costs when fermentation is not the default.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
28	C	10.1002/(SICI)1097-0061(19990330)15:5<361::AID-YEA378>3.0.CO;2-3	10219994	Regulation of the expression of the Kluyveromyces lactis PDC1 gene: carbon source-responsive elements and autoregulation.	1999	Yeast (Chichester, England)	K. lactis PDC1 carbon-source-responsive elements and autoregulation. Regulatory detail in the wrong organism.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-0061%2819990330%2915%3A5%3C361%3A%3AAID-YEA378%3E3.0.CO%3B2-3	10	other
29	C	10.1021/acs.jafc.3c03163	37439413	l-Lactic Acid Production via Sustainable Neutralizer-Free Route by Engineering Acid-Tolerant Yeast Pichia kudriavzevii.	2023	Journal of agricultural and food chemistry	Pdc-attenuated lactate production in Pichia kudriavzevii. Off-chassis.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
30	C	10.1002/yea.1702	19655300	Efficient production of L-lactic acid by Crabtree-negative yeast Candida boidinii.	2009	Yeast (Chichester, England)	L-lactate in Candida boidinii, Crabtree-negative. Off-chassis.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
31	C	10.1002/bit.27576	33030791	Domesticating a food spoilage yeast into an organic acid-tolerant metabolic engineering host: Lactic acid production by engineered Zygosaccharomyces bailii.	2021	Biotechnology and bioengineering	Zygosaccharomyces bailii as an acid-tolerant host. Off-chassis; enqueued as fetch_failed, so a retry may be cheaper than a manual download.	fetch_failed	Fetch failed - the automated retrieval errored rather than being refused; a retry of `fermdb literature acquire` may resolve it without a manual download.	yes		https://www.osti.gov/servlets/purl/1764380	10	other
32	C	10.1016/j.biortech.2025.132788	40499668	Examination of the effect of HOG1 deletion on glucose fermentation in Saccharomyces cerevisiae.	2025	Bioresource technology	HOG1 deletion and glucose fermentation. Touches fermentative capacity but not the pyruvate sink.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://doi.org/10.1016/j.biortech.2025.132788	10	other
33	C	10.1007/s00253-015-6701-3	26043971	Lactic acid production from xylose by engineered Saccharomyces cerevisiae without PDC or ADH deletion.	2015	Applied microbiology and biotechnology	Lactate from xylose WITHOUT PDC or ADH deletion - explicitly the negative control for the deletion strategy, which is mildly useful and mildly off-criterion.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
34	C	10.1016/j.biortech.2013.07.081	23941711	Production of 2,3-butanediol by engineered Saccharomyces cerevisiae.	2013	Bioresource technology	2,3-butanediol in S. cerevisiae; the Pdc connection is incidental to the acetolactate branch.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
35	C	10.1007/s00253-014-5683-x	24743979	2,3-butanediol production from cellobiose by engineered Saccharomyces cerevisiae.	2014	Applied microbiology and biotechnology	2,3-butanediol from cellobiose. As above, plus a CBP framing B.3.6 excludes.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
36	C	10.1128/JB.183.18.5223-5229.2001	11514503	Feedback regulation of glucose transporter gene transcription in Kluyveromyces lactis by glucose uptake.	2001	Journal of bacteriology	K. lactis glucose transporter feedback. Glucose sensing, not the pyruvate sink.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/95402	10	other
37	C	10.1128/EC.3.3.589-597.2004	15189981	The deletion of the succinate dehydrogenase gene KlSDH1 in Kluyveromyces lactis does not lead to respiratory deficiency.	2004	Eukaryotic cell	KlSDH1 deletion in K. lactis. Respiratory genetics, off-criterion for E1.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://doi.org/10.1128/ec.3.3.589-597.2004	10	other
38	C	10.1128/AEM.67.4.1587-1593.2001	11282609	Physiological properties of Saccharomyces cerevisiae from which hexokinase II has been deleted.	2001	Applied and environmental microbiology	Hexokinase II deletion physiology. Upstream of the branch point; background.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/92773	10	other
39	C	10.1007/BF00310888	8467527	The growth and signalling defects of the ggs1 (fdp1/byp1) deletion mutant on glucose are suppressed by a deletion of the gene encoding hexokinase PII.	1993	Current genetics	ggs1/fdp1/byp1 suppression by hexokinase PII deletion. Glucose-signalling genetics; background.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://link.springer.com/content/pdf/10.1007/BF00310888.pdf	10	other
40	C	10.1111/j.1432-1033.1993.tb17903.x	8508783	The glucose-6-phosphate-isomerase reaction is essential for normal glucose repression in Saccharomyces cerevisiae.	1993	European journal of biochemistry	Glucose-6-phosphate isomerase and glucose repression. Background.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1432-1033.1993.tb17903.x	10	other
41	C	10.1007/s00253-021-11394-9	34152451	Investigating the role of the transcriptional regulator Ure2 on the metabolism of Saccharomyces cerevisiae: a multi-omics approach.	2021	Applied microbiology and biotechnology	Ure2 multi-omics. Nitrogen regulation; enqueued as fetch_failed.	fetch_failed	Fetch failed - the automated retrieval errored rather than being refused; a retry of `fermdb literature acquire` may resolve it without a manual download.	yes		https://www.osti.gov/servlets/purl/1834389	10	other
42	D	10.1016/j.jbiotec.2019.11.008	31733223	Improving l-phenylacetylcarbinol production in Saccharomyces cerevisiae by in silico aided metabolic engineering.	2020	Journal of biotechnology	Phenylacetylcarbinol production. Matched the query because PAC synthesis runs through Pdc, but it optimises Pdc rather than removing it - the opposite of E1's question.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
43	D	10.1093/intbio/zyac003	35368081	In silico target-based strain engineering of Saccharomyces cerevisiae for terpene precursor improvement.	2022	Integrative biology : quantitative biosciences from nano to macro	Terpene precursor engineering in silico. Pdc appears as a model reaction.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
44	D	10.13345/j.cjb.200003	33164460	[Construction and optimization of p-coumaric acid-producing Saccharomyces cerevisiae].	2020	Sheng wu gong cheng xue bao = Chinese journal of biotechnology	p-coumaric acid strain construction. Pdc appears in the background pathway.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
45	D	10.1016/j.biortech.2026.134710	42034295	Systematic engineering of Saccharomyces cerevisiae for efficient synthesis of Lolium perenne antifreeze protein.	2026	Bioresource technology	Antifreeze protein expression. No E1 content; the query matched on strain-engineering vocabulary.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
46	D	10.1016/s0141-0229(00)00160-5	10862874	Simultaneous genomic overexpression of seven glycolytic enzymes in the yeast Saccharomyces cerevisiae.	2000	Enzyme and microbial technology	Overexpression of seven glycolytic enzymes including PDC1. Overexpression, not attenuation.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
47	D	10.1007/s00253-009-2209-z	19727705	Investigating the effectiveness of DNA microarray analysis for identifying the genes involved in l-lactate production by Saccharomyces cerevisiae.	2009	Applied microbiology and biotechnology	Microarray hunt for L-lactate genes. No Pdc perturbation measured.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
48	D	10.1002/pmic.201100285	22623105	Evaluation of SCO1 deletion on Saccharomyces cerevisiae metabolism through a proteomic approach.	2012	Proteomics	SCO1 deletion proteomics. Respiratory assembly, not the pyruvate sink.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://flore.unifi.it/bitstream/2158/650640/1/Evaluation%20of%20SCO1%20deletion%20on.pdf	10	other
49	D	10.1007/BF00902736	7765773	Isolation and characterization of the Pichia stipitis transketolase gene and expression in a xylose-utilising Saccharomyces cerevisiae transformant.	1994	Applied microbiology and biotechnology	Pichia stipitis transketolase in a xylose-utilising S. cerevisiae. Pentose, now in scope under B.3.6 - but as pentose, not as E1.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
50	D	10.3724/SP.J.1005.2014.1053	25406254	[Development of a genetic transformation system for Candida tropicalis based on a reusable selection marker of URA3 gene].	2014	Yi chuan = Hereditas	Candida tropicalis URA3 marker system. A methods note; no E1 content.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
51	D		20931870	[Effect of YDL080C gene deletion on higher alcohols production in Saccharomyces cerevisiae haploids].	2010	Wei sheng wu xue bao = Acta microbiologica Sinica	YDL080C deletion and higher alcohols. Higher-alcohol formation is adjacent to the Ehrlich route, not to the pyruvate sink; Chinese-language, and the gene is ADH-adjacent rather than Pdc.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
52	D	10.1128/EC.00009-09	19411618	Ustilago maydis Rho1 and 14-3-3 homologues participate in pathways controlling cell separation and cell polarity.	2009	Eukaryotic cell	Ustilago maydis Rho1 and 14-3-3 in cell separation. A false positive of the E1 query; no yeast fermentation content at all.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://doi.org/10.1128/ec.00009-09	10	other
