run_accession	study_accession	bioproject	biosample	organism	library_strategy	library_selection	library_layout	spots	study_title	experiment_title	sample_title	sample_name	attr_age	attr_agent	attr_base_media	attr_biomaterial_provider	attr_biosamplemodel	attr_cell_line	attr_collected_by	attr_collection_date	attr_common_name	attr_compound	attr_control_1	attr_control_2	attr_culture	attr_experiment_day	attr_genotype	attr_geo_loc_name	attr_growth_condition	attr_host	attr_isobutanol_addition	attr_isolate	attr_isolation_source	attr_library_id	attr_organism_part	attr_replicate	attr_roles_in_the_project	attr_sample_replicate_id	attr_sample_type	attr_source_name	attr_strain	attr_substrain	attr_temp	attr_time_point	attr_timepoint	attr_tissue	attr_treatment	attr_tryptophan_addition	attr_type	attr_other
SRR14687213	SRP321884	PRJNA733673	SAMN19432065	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6780382	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348146: 13. Sc12; Saccharomyces cerevisiae S288C; RNA-Seq	13. Sc12	GSM5348146															Tryptophan synthase (TRP5) defective				No					1				TRP5 defected strain								No		
SRR14687214	SRP321884	PRJNA733673	SAMN19432065	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6871140	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348146: 13. Sc12; Saccharomyces cerevisiae S288C; RNA-Seq	13. Sc12	GSM5348146															Tryptophan synthase (TRP5) defective				No					1				TRP5 defected strain								No		
SRR14687215	SRP321884	PRJNA733673	SAMN19432064	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6750065	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348147: 14. Sc12; Saccharomyces cerevisiae S288C; RNA-Seq	14. Sc12	GSM5348147															Tryptophan synthase (TRP5) defective				No					2				TRP5 defected strain								No		
SRR14687216	SRP321884	PRJNA733673	SAMN19432064	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6805357	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348147: 14. Sc12; Saccharomyces cerevisiae S288C; RNA-Seq	14. Sc12	GSM5348147															Tryptophan synthase (TRP5) defective				No					2				TRP5 defected strain								No		
SRR14687217	SRP321884	PRJNA733673	SAMN19432756	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8629012	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348148: 15. Sc12; Saccharomyces cerevisiae S288C; RNA-Seq	15. Sc12	GSM5348148															Tryptophan synthase (TRP5) defective				No					3				TRP5 defected strain								No		
SRR14687218	SRP321884	PRJNA733673	SAMN19432755	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9208264	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348149: 16. Sc12+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	16. Sc12+Trp	GSM5348149															Tryptophan synthase (TRP5) defective				No					1				TRP5 defected strain								Yes		
SRR14687219	SRP321884	PRJNA733673	SAMN19432754	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7937950	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348150: 17. Sc12+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	17. Sc12+Trp	GSM5348150															Tryptophan synthase (TRP5) defective				No					2				TRP5 defected strain								Yes		
SRR14687220	SRP321884	PRJNA733673	SAMN19432754	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8056040	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348150: 17. Sc12+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	17. Sc12+Trp	GSM5348150															Tryptophan synthase (TRP5) defective				No					2				TRP5 defected strain								Yes		
SRR14687221	SRP321884	PRJNA733673	SAMN19432084	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7595228	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348151: 18. Sc12+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	18. Sc12+Trp	GSM5348151															Tryptophan synthase (TRP5) defective				No					3				TRP5 defected strain								Yes		
SRR14687222	SRP321884	PRJNA733673	SAMN19432084	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7647757	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348151: 18. Sc12+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	18. Sc12+Trp	GSM5348151															Tryptophan synthase (TRP5) defective				No					3				TRP5 defected strain								Yes		
SRR14687223	SRP321884	PRJNA733673	SAMN19432083	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7912165	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348152: 19. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	19. Sc12+IB	GSM5348152															Tryptophan synthase (TRP5) defective				Yes					1				TRP5 defected strain								No		
SRR14687224	SRP321884	PRJNA733673	SAMN19432083	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8014564	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348152: 19. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	19. Sc12+IB	GSM5348152															Tryptophan synthase (TRP5) defective				Yes					1				TRP5 defected strain								No		
SRR14687225	SRP321884	PRJNA733673	SAMN19432082	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7326679	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348153: 20. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	20. Sc12+IB	GSM5348153															Tryptophan synthase (TRP5) defective				Yes					2				TRP5 defected strain								No		
SRR14687226	SRP321884	PRJNA733673	SAMN19432082	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7426899	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348153: 20. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	20. Sc12+IB	GSM5348153															Tryptophan synthase (TRP5) defective				Yes					2				TRP5 defected strain								No		
SRR14687227	SRP321884	PRJNA733673	SAMN19432081	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7470757	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348154: 21. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	21. Sc12+IB	GSM5348154															Tryptophan synthase (TRP5) defective				Yes					3				TRP5 defected strain								No		
SRR14687228	SRP321884	PRJNA733673	SAMN19432081	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7578498	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348154: 21. Sc12+IB; Saccharomyces cerevisiae S288C; RNA-Seq	21. Sc12+IB	GSM5348154															Tryptophan synthase (TRP5) defective				Yes					3				TRP5 defected strain								No		
SRR14687229	SRP321884	PRJNA733673	SAMN19432080	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7153638	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348155: 22. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	22. Sc12+Trp+IB	GSM5348155															Tryptophan synthase (TRP5) defective				Yes					1				TRP5 defected strain								Yes		
SRR14687230	SRP321884	PRJNA733673	SAMN19432080	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7248671	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348155: 22. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	22. Sc12+Trp+IB	GSM5348155															Tryptophan synthase (TRP5) defective				Yes					1				TRP5 defected strain								Yes		
SRR14687231	SRP321884	PRJNA733673	SAMN19432079	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6786879	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348156: 23. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	23. Sc12+Trp+IB	GSM5348156															Tryptophan synthase (TRP5) defective				Yes					2				TRP5 defected strain								Yes		
SRR14687232	SRP321884	PRJNA733673	SAMN19432079	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6889131	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348156: 23. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	23. Sc12+Trp+IB	GSM5348156															Tryptophan synthase (TRP5) defective				Yes					2				TRP5 defected strain								Yes		
SRR14687233	SRP321884	PRJNA733673	SAMN19432078	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7400930	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348157: 24. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	24. Sc12+Trp+IB	GSM5348157															Tryptophan synthase (TRP5) defective				Yes					3				TRP5 defected strain								Yes		
SRR14687234	SRP321884	PRJNA733673	SAMN19432078	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7517458	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348157: 24. Sc12+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	24. Sc12+Trp+IB	GSM5348157															Tryptophan synthase (TRP5) defective				Yes					3				TRP5 defected strain								Yes		
SRR16481343	SRP342112	PRJNA772701	SAMN22405060	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8601649	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638924: Y795 T14-1; Saccharomyces cerevisiae; RNA-Seq	Y795 T14-1	GSM5638924															CEN.PK113-5D URA3+									1				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481344	SRP342112	PRJNA772701	SAMN22405061	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	5868367	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638925: Y795 T14-2; Saccharomyces cerevisiae; RNA-Seq	Y795 T14-2	GSM5638925															CEN.PK113-5D URA3+									2				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481345	SRP342112	PRJNA772701	SAMN22405062	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7185790	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638926: Y795 T14-3; Saccharomyces cerevisiae; RNA-Seq	Y795 T14-3	GSM5638926															CEN.PK113-5D URA3+									3				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481346	SRP342112	PRJNA772701	SAMN22405063	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6933175	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638927: Y797 T14-1; Saccharomyces cerevisiae; RNA-Seq	Y797 T14-1	GSM5638927															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									1				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481347	SRP342112	PRJNA772701	SAMN22405064	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	10692331	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638928: Y797 T14-2; Saccharomyces cerevisiae; RNA-Seq	Y797 T14-2	GSM5638928															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									2				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481348	SRP342112	PRJNA772701	SAMN22405065	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	5585170	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638929: Y797 T14-3; Saccharomyces cerevisiae; RNA-Seq	Y797 T14-3	GSM5638929															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									3				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481349	SRP342112	PRJNA772701	SAMN22405066	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	9180837	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638930: Y799 T14-1; Saccharomyces cerevisiae; RNA-Seq	Y799 T14-1	GSM5638930															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									1				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481350	SRP342112	PRJNA772701	SAMN22405067	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6326088	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638931: Y799 T14-2; Saccharomyces cerevisiae; RNA-Seq	Y799 T14-2	GSM5638931															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									2				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481351	SRP342112	PRJNA772701	SAMN22405068	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8160420	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638932: Y799 T14-3; Saccharomyces cerevisiae; RNA-Seq	Y799 T14-3	GSM5638932															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									3				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481352	SRP342112	PRJNA772701	SAMN22405069	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7410365	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638933: Y812 T14-1; Saccharomyces cerevisiae; RNA-Seq	Y812 T14-1	GSM5638933															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									1				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481353	SRP342112	PRJNA772701	SAMN22405070	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	9511231	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638934: Y812 T14-2; Saccharomyces cerevisiae; RNA-Seq	Y812 T14-2	GSM5638934															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									2				frozen stock				T14 - hour 26	T14 - hour 26					
SRR16481354	SRP342112	PRJNA772701	SAMN22405071	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	11312879	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638935: Y795 T3-1; Saccharomyces cerevisiae; RNA-Seq	Y795 T3-1	GSM5638935															CEN.PK113-5D URA3+									1				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481355	SRP342112	PRJNA772701	SAMN22405076	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6178715	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638936: Y795 T3-2; Saccharomyces cerevisiae; RNA-Seq	Y795 T3-2	GSM5638936															CEN.PK113-5D URA3+									2				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481356	SRP342112	PRJNA772701	SAMN22405077	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6134592	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638937: Y795 T3-3; Saccharomyces cerevisiae; RNA-Seq	Y795 T3-3	GSM5638937															CEN.PK113-5D URA3+									3				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481357	SRP342112	PRJNA772701	SAMN22405043	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8345150	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638938: Y797 T3-1; Saccharomyces cerevisiae; RNA-Seq	Y797 T3-1	GSM5638938															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									1				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481358	SRP342112	PRJNA772701	SAMN22405044	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	11005227	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638939: Y797 T3-2; Saccharomyces cerevisiae; RNA-Seq	Y797 T3-2	GSM5638939															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									2				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481359	SRP342112	PRJNA772701	SAMN22405072	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8045931	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638940: Y797 T3-3; Saccharomyces cerevisiae; RNA-Seq	Y797 T3-3	GSM5638940															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									3				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481360	SRP342112	PRJNA772701	SAMN22405073	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	10629019	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638941: Y799 T3-1; Saccharomyces cerevisiae; RNA-Seq	Y799 T3-1	GSM5638941															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									1				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481361	SRP342112	PRJNA772701	SAMN22405074	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6708087	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638942: Y799 T3-3; Saccharomyces cerevisiae; RNA-Seq	Y799 T3-3	GSM5638942															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									3				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481362	SRP342112	PRJNA772701	SAMN22405075	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	6881545	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638943: Y812 T3-1; Saccharomyces cerevisiae; RNA-Seq	Y812 T3-1	GSM5638943															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									1				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481363	SRP342112	PRJNA772701	SAMN22405046	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7151975	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638944: Y812 T3-2; Saccharomyces cerevisiae; RNA-Seq	Y812 T3-2	GSM5638944															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									2				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481364	SRP342112	PRJNA772701	SAMN22405047	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7003132	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638945: Y812 T3-3; Saccharomyces cerevisiae; RNA-Seq	Y812 T3-3	GSM5638945															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									3				frozen stock				T3 - hour 4	T3 - hour 4					
SRR16481365	SRP342112	PRJNA772701	SAMN22405048	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7824493	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638946: Y795 T6-1; Saccharomyces cerevisiae; RNA-Seq	Y795 T6-1	GSM5638946															CEN.PK113-5D URA3+									1				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481366	SRP342112	PRJNA772701	SAMN22405049	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	10149195	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638947: Y795 T6-2; Saccharomyces cerevisiae; RNA-Seq	Y795 T6-2	GSM5638947															CEN.PK113-5D URA3+									2				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481367	SRP342112	PRJNA772701	SAMN22405050	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7761869	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638948: Y795 T6-3; Saccharomyces cerevisiae; RNA-Seq	Y795 T6-3	GSM5638948															CEN.PK113-5D URA3+									3				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481368	SRP342112	PRJNA772701	SAMN22405051	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	11291853	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638949: Y797 T6-1; Saccharomyces cerevisiae; RNA-Seq	Y797 T6-1	GSM5638949															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									1				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481369	SRP342112	PRJNA772701	SAMN22405052	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8418260	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638950: Y797 T6-2; Saccharomyces cerevisiae; RNA-Seq	Y797 T6-2	GSM5638950															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									2				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481370	SRP342112	PRJNA772701	SAMN22405053	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	10148626	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638951: Y797 T6-3; Saccharomyces cerevisiae; RNA-Seq	Y797 T6-3	GSM5638951															Y795 with HO::pADH1-ScILV2-tCYC1 _pPGK1-ScILV3-tTEF2_pTEF2CoxIV-LlAdhA29C8_tTDH3_pTDH3CovIV-ScARO10-tTEF1_pTEF1-ScILV5-tTUB1									3				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481371	SRP342112	PRJNA772701	SAMN22405054	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8077951	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638952: Y799 T6-1; Saccharomyces cerevisiae; RNA-Seq	Y799 T6-1	GSM5638952															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									1				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481372	SRP342112	PRJNA772701	SAMN22405056	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	9384543	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638953: Y799 T6-2; Saccharomyces cerevisiae; RNA-Seq	Y799 T6-2	GSM5638953															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									2				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481373	SRP342112	PRJNA772701	SAMN22405057	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	7434529	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638954: Y799 T6-3; Saccharomyces cerevisiae; RNA-Seq	Y799 T6-3	GSM5638954															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-EcIlvC6E6-tTUB1									3				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481374	SRP342112	PRJNA772701	SAMN22405058	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	14163981	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638955: Y812 T6-1; Saccharomyces cerevisiae; RNA-Seq	Y812 T6-1	GSM5638955															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									1				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16481375	SRP342112	PRJNA772701	SAMN22405059	Saccharomyces cerevisiae	RNA-Seq	cDNA	PAIRED	8813710	RNAseq of engineered S. cerevisiae strains for isobutanol production	GSM5638956: Y812 T6-2; Saccharomyces cerevisiae; RNA-Seq	Y812 T6-2	GSM5638956															Y795 with HO::pADH1-ScILV2N54-tCYC1 _pPGK1-ScILV3N19-tTEF2_pTEF2-LlAdhA29C8tTDH3_pTDH3-ScARO10-tTEF1_pTEF1-ScILV5N48-tTUB1									2				frozen stock				T6 - hour 10	T6 - hour 10					
SRR16642818	SRP343868	PRJNA776529	SAMN22794390	Saccharomyces cerevisiae	OTHER	other	SINGLE	1772939	Comparative chemical-genomic profiling of plant-based hydrolysate toxins enables predictive assessment of responses to complex mixtures	GSM5662675: IBA_CG005_rep3; Saccharomyces cerevisiae; OTHER	IBA_CG005_rep3	GSM5662675			1x SynBase								Control1_CG005	Control3_CG005		ChemGen005														3DeltaAlpha strains pool, 0.75% IBA, replicate 3	3DeltaAlpha						0.75% Isobutanol (IBA)			
SRR16642820	SRP343868	PRJNA776529	SAMN22794391	Saccharomyces cerevisiae	OTHER	other	SINGLE	1929793	Comparative chemical-genomic profiling of plant-based hydrolysate toxins enables predictive assessment of responses to complex mixtures	GSM5662674: IBA_CG004_rep2; Saccharomyces cerevisiae; OTHER	IBA_CG004_rep2	GSM5662674			1x SynBase								Control2_CG004	Control3_CG004		ChemGen004														3DeltaAlpha strains pool, 0.75% IBA, replicate 2	3DeltaAlpha						0.75% Isobutanol (IBA)			
SRR16642822	SRP343868	PRJNA776529	SAMN22794392	Saccharomyces cerevisiae	OTHER	other	SINGLE	2235022	Comparative chemical-genomic profiling of plant-based hydrolysate toxins enables predictive assessment of responses to complex mixtures	GSM5662673: IBA_CG003_rep1; Saccharomyces cerevisiae; OTHER	IBA_CG003_rep1	GSM5662673			1x SynBase								Control2_CG003	Control3_CG003		ChemGen003														3DeltaAlpha strains pool, 0.75% IBA, replicate 1	3DeltaAlpha						0.75% Isobutanol (IBA)			
